name,date,year,month,doy,NDVI,EVI,VCI
AKSAKOVO_RS,2000-02-18,2000,2,48,,,
AKSAKOVO_RS,2000-03-05,2000,3,64,,,
AKSAKOVO_RS,2000-03-21,2000,3,80,,,
AKSAKOVO_RS,2000-04-06,2000,4,96,0.2510915841874085,0.10783516251830162,5.946020236388308
AKSAKOVO_RS,2000-04-22,2000,4,112,0.371484678764596,0.15235314158621033,23.941016660296924
AKSAKOVO_RS,2000-05-08,2000,5,128,0.48610181468937985,0.22238300055603297,42.139254432050244
AKSAKOVO_RS,2000-05-24,2000,5,144,0.6010042309053226,0.30699186675428397,59.865042337120386
AKSAKOVO_RS,2000-06-09,2000,6,160,0.6861810645503716,0.4057860991760603,73.11524953928027
AKSAKOVO_RS,2000-06-25,2000,6,176,0.7868636455726377,0.5273698486473605,88.73169772558502
AKSAKOVO_RS,2000-07-11,2000,7,192,0.7629720669261486,0.49958328362735666,84.8527781580622
AKSAKOVO_RS,2000-07-27,2000,7,208,0.6576964616084515,0.38864288025072036,68.53825234546127
AKSAKOVO_RS,2000-08-12,2000,8,224,0.6065123914437258,0.2778684676808302,60.978308891180184
AKSAKOVO_RS,2000-08-28,2000,8,240,0.551909664863772,0.28530788050346245,52.13018321666809
AKSAKOVO_RS,2000-09-13,2000,9,256,0.554329029975231,0.25285734216246264,52.59202047749273
AKSAKOVO_RS,2000-09-29,2000,9,272,0.46088541171713077,0.18558384977000453,38.02800170607253
AKSAKOVO_RS,2000-10-15,2000,10,288,0.38969458120608585,0.15359750796138097,26.856098652454317
AKSAKOVO_RS,2000-10-31,2000,10,304,0.36879031768514786,0.1330223796033994,23.521214715154144
AKSAKOVO_RS,2000-11-16,2000,11,320,,,
AKSAKOVO_RS,2000-12-02,2000,12,336,,,
AKSAKOVO_RS,2000-12-18,2000,12,352,,,
AKSAKOVO_RS,2001-01-01,2001,1,0,,,
AKSAKOVO_RS,2001-01-17,2001,1,16,,,
AKSAKOVO_RS,2001-02-02,2001,2,32,,,
AKSAKOVO_RS,2001-02-18,2001,2,48,,,
AKSAKOVO_RS,2001-03-06,2001,3,64,,,
AKSAKOVO_RS,2001-03-22,2001,3,80,,,
AKSAKOVO_RS,2001-04-07,2001,4,96,,,
AKSAKOVO_RS,2001-04-23,2001,4,112,0.4704478036698176,0.2002987160693526,39.64684893785397
AKSAKOVO_RS,2001-05-09,2001,5,128,0.5055852145781732,0.24131967345700847,45.14461334267767
AKSAKOVO_RS,2001-05-25,2001,5,144,0.724537820350806,0.40404579184148015,79.02630171315795
AKSAKOVO_RS,2001-06-10,2001,6,160,0.7613631133671744,0.44907275803722513,85.1951357899687
AKSAKOVO_RS,2001-06-26,2001,6,176,0.7876449881211144,0.4908046555123084,88.61751768162581
AKSAKOVO_RS,2001-07-12,2001,7,192,0.7225958803012688,0.4605596370621239,78.62051520019693
AKSAKOVO_RS,2001-07-28,2001,7,208,0.6042871809129052,0.3431548602335337,60.260437985875114
AKSAKOVO_RS,2001-08-13,2001,8,224,0.6389921700449879,0.32136460597482674,65.79772051009677
AKSAKOVO_RS,2001-08-29,2001,8,240,0.6049423646565234,0.3123471364302683,60.593416251857974
AKSAKOVO_RS,2001-09-14,2001,9,256,0.5753131425971796,0.2701957185462264,55.88639427560889
AKSAKOVO_RS,2001-09-30,2001,9,272,0.4516803257284221,0.20249157504123147,37.03571047460716
AKSAKOVO_RS,2001-10-16,2001,10,288,,,
AKSAKOVO_RS,2001-11-01,2001,11,304,0.4073828037861346,0.1717012535175237,29.586880506550933
AKSAKOVO_RS,2001-11-17,2001,11,320,,,
AKSAKOVO_RS,2001-12-03,2001,12,336,,,
AKSAKOVO_RS,2001-12-19,2001,12,352,,,
AKSAKOVO_RS,2002-01-01,2002,1,0,,,
AKSAKOVO_RS,2002-01-17,2002,1,16,,,
AKSAKOVO_RS,2002-02-02,2002,2,32,,,
AKSAKOVO_RS,2002-02-18,2002,2,48,,,
AKSAKOVO_RS,2002-03-06,2002,3,64,,,
AKSAKOVO_RS,2002-03-22,2002,3,80,,,
AKSAKOVO_RS,2002-04-07,2002,4,96,,,
AKSAKOVO_RS,2002-04-23,2002,4,112,0.4288104786938279,0.18019778092301467,33.11745005251254
AKSAKOVO_RS,2002-05-09,2002,5,128,0.44758955669008754,0.22437149572865583,36.106768457721536
AKSAKOVO_RS,2002-05-25,2002,5,144,0.6177466207951072,0.33842942915392454,62.515804521523464
AKSAKOVO_RS,2002-06-10,2002,6,160,0.6914399737148058,0.352865864631249,74.14333039663754
AKSAKOVO_RS,2002-06-26,2002,6,176,0.750683960976596,0.49398204519031463,83.14800822624905
AKSAKOVO_RS,2002-07-12,2002,7,192,0.7452880907850171,0.4590034322398018,82.13862752194683
AKSAKOVO_RS,2002-07-28,2002,7,208,0.6693360157711167,0.4028616236162361,70.36746956313326
AKSAKOVO_RS,2002-08-13,2002,8,224,0.5939783046049636,0.3494787140474143,58.582460078708735
AKSAKOVO_RS,2002-08-29,2002,8,240,0.5417454986604658,0.27254241520497396,50.60299478580845
AKSAKOVO_RS,2002-09-14,2002,9,256,0.5278121467927006,0.25962644694940096,48.38865777054049
AKSAKOVO_RS,2002-09-30,2002,9,272,0.48454979022392947,0.23463093059697718,41.49585641298299
AKSAKOVO_RS,2002-10-16,2002,10,288,0.42334232029969576,0.19845129360805433,31.984174157670115
AKSAKOVO_RS,2002-11-01,2002,11,304,0.38784764607248823,0.16570706823165224,26.574936318639537
AKSAKOVO_RS,2002-11-17,2002,11,320,,,
AKSAKOVO_RS,2002-12-03,2002,12,336,,,
AKSAKOVO_RS,2002-12-19,2002,12,352,,,
AKSAKOVO_RS,2003-01-01,2003,1,0,,,
AKSAKOVO_RS,2003-01-17,2003,1,16,,,
AKSAKOVO_RS,2003-02-02,2003,2,32,,,
AKSAKOVO_RS,2003-02-18,2003,2,48,,,
AKSAKOVO_RS,2003-03-06,2003,3,64,,,
AKSAKOVO_RS,2003-03-22,2003,3,80,,,
AKSAKOVO_RS,2003-04-07,2003,4,96,0.21560587552252666,0.09280478402229447,3.491494622418721
AKSAKOVO_RS,2003-04-23,2003,4,112,0.3491185967750089,0.14620319971692858,20.446202850469344
AKSAKOVO_RS,2003-05-09,2003,5,128,0.5791103422130113,0.3109299044634283,56.592940925259526
AKSAKOVO_RS,2003-05-25,2003,5,144,0.6360962088661976,0.3674070413991809,65.35079833558565
AKSAKOVO_RS,2003-06-10,2003,6,160,0.7514402435864209,0.41486763410209887,82.94981033302518
AKSAKOVO_RS,2003-06-26,2003,6,176,0.7783589496031945,0.4732740534802608,87.16297838858794
AKSAKOVO_RS,2003-07-12,2003,7,192,0.7783387757165242,0.503359859475307,87.30895091250017
AKSAKOVO_RS,2003-07-28,2003,7,208,0.7258451650406914,0.47928621038265157,79.14404516778039
AKSAKOVO_RS,2003-08-13,2003,8,224,0.6113312237779911,0.3506810392761462,61.560192569402005
AKSAKOVO_RS,2003-08-29,2003,8,240,0.5439522569883235,0.2823449173532831,51.06333792281164
AKSAKOVO_RS,2003-09-14,2003,9,256,0.49460942728605384,0.24781263205782733,43.295376751014345
AKSAKOVO_RS,2003-09-30,2003,9,272,0.41056353434767223,0.1873224586766416,30.201404761321285
AKSAKOVO_RS,2003-10-16,2003,10,288,,,
AKSAKOVO_RS,2003-11-01,2003,11,304,,,
AKSAKOVO_RS,2003-11-17,2003,11,320,,,
AKSAKOVO_RS,2003-12-03,2003,12,336,,,
AKSAKOVO_RS,2003-12-19,2003,12,352,,,
AKSAKOVO_RS,2004-01-01,2004,1,0,,,
AKSAKOVO_RS,2004-01-17,2004,1,16,,,
AKSAKOVO_RS,2004-02-02,2004,2,32,,,
AKSAKOVO_RS,2004-02-18,2004,2,48,,,
AKSAKOVO_RS,2004-03-05,2004,3,64,,,
AKSAKOVO_RS,2004-03-21,2004,3,80,,,
AKSAKOVO_RS,2004-04-06,2004,4,96,,,
AKSAKOVO_RS,2004-04-22,2004,4,112,0.3204318556336248,0.1335051357225901,16.129384620187633
AKSAKOVO_RS,2004-05-08,2004,5,128,0.3307583329120962,0.13515511803063235,17.74684609182926
AKSAKOVO_RS,2004-05-24,2004,5,144,0.5987978163069301,0.32903361977455386,59.54775249076003
AKSAKOVO_RS,2004-06-09,2004,6,160,0.7722124955770103,0.47314258201486126,86.15394205571138
AKSAKOVO_RS,2004-06-25,2004,6,176,0.7907463074356769,0.5418974826871555,89.02644052422207
AKSAKOVO_RS,2004-07-11,2004,7,192,0.7352985998079156,0.452632310569681,80.48960712160581
AKSAKOVO_RS,2004-07-27,2004,7,208,0.5870385836324116,0.36984332507708645,57.70007464075112
AKSAKOVO_RS,2004-08-12,2004,8,224,0.5620749431329927,0.3232938684729313,53.89061853554903
