name,date,year,month,doy,NDVI,EVI,VCI
IN_AMENAS_AG,2000-02-18,2000,2,48,0.08858637213769396,0.06137395238335943,58.577366509691316
IN_AMENAS_AG,2000-03-05,2000,3,64,0.09285606328666024,0.06445394025173128,69.03992639199696
IN_AMENAS_AG,2000-03-21,2000,3,80,0.09414354749026943,0.0654136581913764,72.44042010735959
IN_AMENAS_AG,2000-04-06,2000,4,96,0.0892394025173128,0.06197932062882269,60.08125760686605
IN_AMENAS_AG,2000-04-22,2000,4,112,0.09712315119041601,0.06687899711873829,79.86767277910242
IN_AMENAS_AG,2000-05-08,2000,5,128,0.09071281908709497,0.06397472071980992,63.79050852392615
IN_AMENAS_AG,2000-05-24,2000,5,144,0.09445938431987058,0.06528852044684828,73.35051095071016
IN_AMENAS_AG,2000-06-09,2000,6,160,0.09359141181822775,0.06545469342364657,71.03273058091509
IN_AMENAS_AG,2000-06-25,2000,6,176,0.09493008643785064,0.0666651215690239,74.34393018397593
IN_AMENAS_AG,2000-07-11,2000,7,192,0.09389964616084516,0.06599708840924025,71.99932628702332
IN_AMENAS_AG,2000-07-27,2000,7,208,0.09706563716322092,0.06751443663751702,79.73180237440593
IN_AMENAS_AG,2000-08-12,2000,8,224,0.09236468179750289,0.06402861042309052,68.00677885880644
IN_AMENAS_AG,2000-08-28,2000,8,240,0.09690133447909821,0.06799443461557901,79.57162913212143
IN_AMENAS_AG,2000-09-13,2000,9,256,0.09391315776171456,0.06567821867259765,71.97735301472588
IN_AMENAS_AG,2000-09-29,2000,9,272,0.09635419299398468,0.06661150482737703,78.08082528516655
IN_AMENAS_AG,2000-10-15,2000,10,288,0.09011837941667082,0.061456088560885594,62.62854419042676
IN_AMENAS_AG,2000-10-31,2000,10,304,0.09104597491909389,0.06270882888349517,63.658898330791175
IN_AMENAS_AG,2000-11-16,2000,11,320,0.09195894012944984,0.06311957423139154,65.81698984627745
IN_AMENAS_AG,2000-12-02,2000,12,336,0.09135119535001263,0.06269167045741728,64.01077524640489
IN_AMENAS_AG,2000-12-18,2000,12,352,0.09336747030578722,0.06435393479909023,69.17635796999095
IN_AMENAS_AG,2001-01-01,2001,1,0,0.09236812803398059,0.06346165048543691,66.49285608062537
IN_AMENAS_AG,2001-01-17,2001,1,16,0.09244500404530742,0.0635771844660194,66.91175903083881
IN_AMENAS_AG,2001-02-02,2001,2,32,0.09270172370216848,0.0641922913612698,68.87542515453138
IN_AMENAS_AG,2001-02-18,2001,2,48,0.09737195571955716,0.06759090127887575,80.58160777182171
IN_AMENAS_AG,2001-03-06,2001,3,64,0.09586954455845928,0.06590013648081684,76.87409804241939
IN_AMENAS_AG,2001-03-22,2001,3,80,0.09447776879138652,0.06605963706212403,73.37200708881099
IN_AMENAS_AG,2001-04-07,2001,4,96,0.09915909113885657,0.06878554819794773,84.95159637773175
IN_AMENAS_AG,2001-04-23,2001,4,112,0.09530068240408426,0.06610460496385782,75.20416417104819
IN_AMENAS_AG,2001-05-09,2001,5,128,0.0967340848203002,0.06724026184097459,79.1912586152159
IN_AMENAS_AG,2001-05-25,2001,5,144,0.09156026891775759,0.06539716423191629,66.05729516729498
IN_AMENAS_AG,2001-06-10,2001,6,160,0.0934535105899004,0.06616374159632007,70.77369089726713
IN_AMENAS_AG,2001-06-26,2001,6,176,0.09726479300409435,0.0673923014709599,79.98259605537255
IN_AMENAS_AG,2001-07-12,2001,7,192,0.09701981499267046,0.06728315725623008,79.78888739965804
IN_AMENAS_AG,2001-07-28,2001,7,208,0.09734514987615629,0.06776019309508163,80.38596842406723
IN_AMENAS_AG,2001-08-13,2001,8,224,0.09576269524339079,0.06649801850073295,76.56122742755394
IN_AMENAS_AG,2001-08-29,2001,8,240,0.0979476419147753,0.0679481423444371,81.9839353677428
IN_AMENAS_AG,2001-09-14,2001,9,256,0.09113338219683564,0.06376342819592577,64.89706770936556
IN_AMENAS_AG,2001-09-30,2001,9,272,0.09459441945104381,0.06547907799625939,73.63754018221425
IN_AMENAS_AG,2001-10-16,2001,10,288,0.09483009654754078,0.0654114947176869,74.16513957959502
IN_AMENAS_AG,2001-11-01,2001,11,304,0.09174959041262132,0.06387816545307443,65.12208845393839
IN_AMENAS_AG,2001-11-17,2001,11,320,0.08367675970873785,0.054910113268608396,47.662166231809955
IN_AMENAS_AG,2001-12-03,2001,12,336,0.09088610058124844,0.06231122062168313,63.02888481042227
IN_AMENAS_AG,2001-12-19,2001,12,352,0.08803121051301493,0.061516739954511006,55.529334733393355
IN_AMENAS_AG,2002-01-01,2002,1,0,0.09186001719255664,0.06340718547734629,65.13213457086793
IN_AMENAS_AG,2002-01-17,2002,1,16,0.089353590210356,0.06123265068770226,59.27292599167287
IN_AMENAS_AG,2002-02-02,2002,2,32,0.0936199413637972,0.06478637213769395,70.96777239941002
IN_AMENAS_AG,2002-02-18,2002,2,48,0.09352077035838845,0.06446604155082643,70.90194557486981
IN_AMENAS_AG,2002-03-06,2002,3,64,0.09994497801142394,0.06888343527270886,87.13968862495094
IN_AMENAS_AG,2002-03-22,2002,3,80,0.095476702219077,0.06667148561896577,75.7074546018721
